Country Code,Country Name,Indicator Name,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
CMR,Cameroon,"Literacy rate, adult total (% of people ages 15 and above)",,,,,,,70.67993927,,,71.29051208,,,,,,,,77.07103729,,
COD,"Congo, Dem. Rep.","Literacy rate, adult total (% of people ages 15 and above)",67.17298889,,,,,,61.20555115,,,,,75.01718903,,,,77.04267883,,,,
COG,"Congo, Rep.","Literacy rate, adult total (% of people ages 15 and above)",,,,,76.11479187,,,,,,79.31117249,,,,,,,80.29875946,,
COL,Colombia,"Literacy rate, adult total (% of people ages 15 and above)",,,,92.8037796,92.84866333,92.29968262,92.6517868,93.37818146,93.24468994,93.37232971,93.58052826,,,94.18624878,94.24504852,94.65384674,,95.09250641,95.24926758,95.63632965
COM,Comoros,"Literacy rate, adult total (% of people ages 15 and above)",,,,,,,,,,,,49.19614029,,,,,,58.81702042,,
CPV,Cabo Verde,"Literacy rate, adult total (% of people ages 15 and above)",,,,,,,,,,,,85.32778931,,,86.79029083,,,,,
CRI,Costa Rica,"Literacy rate, adult total (% of people ages 15 and above)",,,,,,,,,,,97.40657806,,,,,,,97.86379242,,
CSS,Caribbean small states,"Literacy rate, adult total (% of people ages 15 and above)",88.22428894,88.51087189,88.78546906,89.06015778,89.36508942,89.55641174,90.15712738,90.41947174,90.64427185,90.88845825,91.08869171,91.10729218,91.1765213,91.34947968,91.44355774,,,,,
CUB,Cuba,"Literacy rate, adult total (% of people ages 15 and above)",,99.79907227,,,,,,,,,,99.75253296,,,,,,,,
CUW,Curacao,"Literacy rate, adult total (% of people ages 15 and above)",,,,,,,,,,,,,,,,,,,,
CYM,Cayman Islands,"Literacy rate, adult total (% of people ages 15 and above)",,,,,,,98.86782074,,,,,,,,,,,,,
CYP,Cyprus,"Literacy rate, adult total (% of people ages 15 and above)",96.80362701,,,,,,,,,,98.67842865,,,,,,,,,
CZE,Czech Republic,"Literacy rate, adult total (% of people ages 15 and above)",,,,,,,,,,,,,,,,,,,,
DEU,Germany,"Literacy rate, adult total (% of people ages 15 and above)",,,,,,,,,,,,,,,,,,,,
DJI,Djibouti,"Literacy rate, adult total (% of people ages 15 and above)",,,,,,,,,,,,,,,,,,,,
DMA,Dominica,"Literacy rate, adult total (% of people ages 15 and above)",,,,,,,,,,,,,,,,,,,,
DNK,Denmark,"Literacy rate, adult total (% of people ages 15 and above)",,,,,,,,,,,,,,,,,,,,
DOM,Dominican Republic,"Literacy rate, adult total (% of people ages 15 and above)",,86.99646759,,,,,88.24446106,,,89.53872681,90.10637665,90.15518188,90.85814667,91.76376343,91.99121094,93.77845764,,,,
