Country Code,Country Name,Indicator Name,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Aruba,Aruba,"Current education expenditure, total (% of total expenditure in public institutions)",96.05522919,88.90766907,,,96.79393768,,100,100,92.76809692,,100,100,100,100,100,100,,,,
Africa Eastern and Southern,Africa Eastern and Southern,"Current education expenditure, total (% of total expenditure in public institutions)",,,,,,,,,,,,,,,,,,,,
Afghanistan,Afghanistan,"Current education expenditure, total (% of total expenditure in public institutions)",,,,,,,,,,81.68141937,82.62509155,84.92228699,81.14800262,80.69690704,80.40733337,,,,,
Africa Western and Central,Africa Western and Central,"Current education expenditure, total (% of total expenditure in public institutions)",,,,,,,,88.80165863,89.48175812,91.35044479,92.2216568,87.04328918,89.39962769,,,,,,,
Angola,Angola,"Current education expenditure, total (% of total expenditure in public institutions)",,,,,,75.65036774,,,,,,,,,,,,,,
Albania,Albania,"Current education expenditure, total (% of total expenditure in public institutions)",,,,,,,,,,,,,91.41316223,,91.94541931,91.63761139,91.70053864,93.8843689,86.84481812,
Andorra,Andorra,"Current education expenditure, total (% of total expenditure in public institutions)",,,,,,93.63365173,,97.61795044,,98.31680298,98.82409668,,99.41766357,98.90917969,98.66561127,99.18147278,99.2702179,99.4593811,99.24268341,
Arab World,Arab World,"Current education expenditure, total (% of total expenditure in public institutions)",,,,,,,,,,,,,,,,,,,,
United Arab Emirates,United Arab Emirates,"Current education expenditure, total (% of total expenditure in public institutions)",,,,,,,,,,,,,,,,,,,73.76706696,
Argentina,Argentina,"Current education expenditure, total (% of total expenditure in public institutions)",98.53540039,99.06062317,99.18782043,99.15782166,,97.51345062,96.79376221,96.14724731,96.04966736,95.78050232,,95.07553864,94.14614105,93.02700806,89.2270813,89.19338226,89.09375763,97.4406662,98.22975922,
Armenia,Armenia,"Current education expenditure, total (% of total expenditure in public institutions)",,,,,,,,,,,,63.95476913,77.35108185,73.96835327,100,90.70323181,87.58867645,,,90.79579926
American Samoa,American Samoa,"Current education expenditure, total (% of total expenditure in public institutions)",,,,,,93.76538849,,,,,,,,,,,,,,
Antigua and Barbuda,Antigua and Barbuda,"Current education expenditure, total (% of total expenditure in public institutions)",,96.14909363,,,,,,,94.84380341,,,,,,,,,,,
Australia,Australia,"Current education expenditure, total (% of total expenditure in public institutions)",,,,,,,,,,,,,,91.62906647,92.33827209,,,,,
Austria,Austria,"Current education expenditure, total (% of total expenditure in public institutions)",96.45974731,95.87841797,97.0668869,95.23950195,95.27510834,95.88922119,96.27258301,96.22892761,95.82597351,95.0827179,95.92864227,96.0202713,95.45085907,95.0187912,94.51020813,93.75376129,93.30567169,92.89285278,,
Azerbaijan,Azerbaijan,"Current education expenditure, total (% of total expenditure in public institutions)",98.77787781,97.98236847,98.03318787,97.69516754,98.35965729,96.55867767,94.68010712,96.9865036,97.71743011,97.46343231,97.24793243,98.29945374,95.64170074,96.11437225,97.81658936,98.0477066,98.7050705,98.65656281,98.13519287,
Burundi,Burundi,"Current education expenditure, total (% of total expenditure in public institutions)",94.62682343,90.3552475,,73.44155884,,,,89.13030243,87.00955963,92.14295959,95.61134338,98.09078217,,,,,,,,
Belgium,Belgium,"Current education expenditure, total (% of total expenditure in public institutions)",,,,,97.20800018,,,95.88855743,96.2678833,96.2229538,96.38166809,,94.40838623,95.17556763,94.96034241,94.44008636,94.87132263,94.55084991,,
Benin,Benin,"Current education expenditure, total (% of total expenditure in public institutions)",71.99983978,,75.86672211,79.42736816,86.29342651,86.74726868,94.30213165,96.30973816,94.27970886,91.84848022,,89.42201996,92.50105286,93.4101181,91.6901474,,,,,
Burkina Faso,Burkina Faso,"Current education expenditure, total (% of total expenditure in public institutions)",,,,,,,64.66840363,,,,,,,,,,,,,
Bangladesh,Bangladesh,"Current education expenditure, total (% of total expenditure in public institutions)",,,,,,,79.97682953,79.92144775,80.98143005,,99.48539734,99.46163177,,,,85.81730652,,,71.03983307,
Bulgaria,Bulgaria,"Current education expenditure, total (% of total expenditure in public institutions)",98.97931671,96.28614044,96.32324219,,89.88954163,91.49952698,82.40759277,86.02793121,90.99803925,94.9312973,95.22863007,94.13838959,92.69834137,,,,95.5057373,,,
Bahrain,Bahrain,"Current education expenditure, total (% of total expenditure in public institutions)",,,,,,,,,,,,96.15100098,,,,,,,,
"Bahamas, The","Bahamas, The","Current education expenditure, total (% of total expenditure in public institutions)",,,,,,,,,,,,,,,,,,,,
Bosnia and Herzegovina,Bosnia and Herzegovina,"Current education expenditure, total (% of total expenditure in public institutions)",,,,,,,,,,,,,,,,,,,,
Belarus,Belarus,"Current education expenditure, total (% of total expenditure in public institutions)",,,,95.2496109,95.24446869,93.5872879,93.74764252,,94.88020325,89.07084656,92.19554901,88.85500336,90.94242096,91.28302765,95.23313141,96.03291321,94.36782074,,92.44734192,91.59693909
Belize,Belize,"Current education expenditure, total (% of total expenditure in public institutions)",74.33400726,,80.68209839,,,,,,,,,,,,,,,,,
Bermuda,Bermuda,"Current education expenditure, total (% of total expenditure in public institutions)",,,,,,,,,,,,,,,98.53227997,,,,,
Bolivia,Bolivia,"Current education expenditure, total (% of total expenditure in public institutions)",,,,,,,,,,,,,,,,,,,,
Brazil,Brazil,"Current education expenditure, total (% of total expenditure in public institutions)",92.31028748,91.03301239,,94.06611633,93.86739349,94.06816101,93.28881073,92.25131226,93.17867279,92.7514801,93.88414764,92.01461029,93.76229095,93.43430328,96.0512619,96.63198853,97.52236938,96.93305206,,
Barbados,Barbados,"Current education expenditure, total (% of total expenditure in public institutions)",99.31194305,89.34382629,88.91442108,90.98284912,96.0220108,,94.85813904,93.14247131,98.08202362,93.8188324,,,,96.39073944,,95.89170074,95.55317688,,95.91969299,97.75396729
Brunei Darussalam,Brunei Darussalam,"Current education expenditure, total (% of total expenditure in public institutions)",,,,,,,,,,,,,,,,96.76885223,,,,
Bhutan,Bhutan,"Current education expenditure, total (% of total expenditure in public institutions)",,,,,,,,,,,,,,,85.99127197,,,,,
Botswana,Botswana,"Current education expenditure, total (% of total expenditure in public institutions)",,,,,,,,,90.23574829,,,,,,,,,,,
Central African Republic,Central African Republic,"Current education expenditure, total (% of total expenditure in public institutions)",,,,,97.75261688,,99.04538727,97.72807312,,98.87496185,,,,,,,,,,
Canada,Canada,"Current education expenditure, total (% of total expenditure in public institutions)",96.58566284,96.86862946,,,95.3928299,93.77896881,93.57315063,92.44956207,90.92619324,90.28829956,89.55126953,,92.22820282,,,,,,,
Central Europe and the Baltics,Central Europe and the Baltics,"Current education expenditure, total (% of total expenditure in public institutions)",92.26731491,89.75061798,92.32678986,93.50300217,92.87778854,90.50948334,90.56019974,90.43313599,91.28774643,90.30552673,91.01070786,92.11109924,91.49994659,91.02726746,91.97969818,93.12680817,93.49336243,91.41780853,,
Switzerland,Switzerland,"Current education expenditure, total (% of total expenditure in public institutions)",90.83512878,90.06210327,90.31545258,90.91430664,90.85312653,91.47373962,92.51360321,92.18582153,91.48609161,91.39543152,90.99284363,91.33872986,90.96659851,90.03993988,89.75731659,89.40428162,,,,
Channel Islands,Channel Islands,"Current education expenditure, total (% of total expenditure in public institutions)",,,,,,,,,,,,,,,,,,,,
Chile,Chile,"Current education expenditure, total (% of total expenditure in public institutions)",,86.06871033,89.20166016,85.27187347,95.58857727,95.04004669,95.34913635,97.22917175,97.03079987,,,,,,,,93.50627136,88.16384125,,
China,China,"Current education expenditure, total (% of total expenditure in public institutions)",,,,,,,,,,,,,,,,,,,,
Cote d'Ivoire,Cote d'Ivoire,"Current education expenditure, total (% of total expenditure in public institutions)",,,,,,96.92862701,95.84342194,94.14237213,91.40724182,93.0191803,93.30944824,87.04328918,89.39962769,92.88704681,94.10917664,93.42006683,93.53469849,94.6153183,,
Cameroon,Cameroon,"Current education expenditure, total (% of total expenditure in public institutions)",,,,,,,,84.91490173,81.67746735,86.64293671,92.24500275,,86.38931274,,,,,,,
"Congo, Dem. Rep.","Congo, Dem. Rep.","Current education expenditure, total (% of total expenditure in public institutions)",,,,,,,,,,90.38336182,,,83.12921143,,,,,,,
"Congo, Rep.","Congo, Rep.","Current education expenditure, total (% of total expenditure in public institutions)",,,,,,,,,,,,,,,,,,,,
Colombia,Colombia,"Current education expenditure, total (% of total expenditure in public institutions)",,96.83647156,,94.34584808,,,100,100,,77.73352814,79.10758209,77.71544647,72.64650726,74.05142975,74.78050995,77.50061798,76.15223694,87.3600769,84.95243835,
Comoros,Comoros,"Current education expenditure, total (% of total expenditure in public institutions)",,,,,,,,,,,,,,,99.99887085,,,,,
Cabo Verde,Cabo Verde,"Current education expenditure, total (% of total expenditure in public institutions)",,,,83.31471252,84.56381989,78.55069733,,84.08804321,,92.74459839,,,,,96.35610962,95.05690765,,,,
Costa Rica,Costa Rica,"Current education expenditure, total (% of total expenditure in public institutions)",100,100,,,,,,,,,,,,,,96.00953674,95.59879303,97.39600372,98.10043335,98.57312012
Caribbean small states,Caribbean small states,"Current education expenditure, total (% of total expenditure in public institutions)",,91.31272125,,95.52992249,,,,90.57778931,100,,96.9486618,97.9017334,,98.00878143,97.66468048,97.32833862,97.21338654,98.0438385,98.36051178,
Cuba,Cuba,"Current education expenditure, total (% of total expenditure in public institutions)",88.92945099,83.4990921,,86.04038239,86.8236084,88.90405273,96.94474792,97.89093018,98.46585083,99.10224915,,,,,,,,,,
Curacao,Curacao,"Current education expenditure, total (% of total expenditure in public institutions)",,,,,,,,,,,,,100,,,,,,,
Cayman Islands,Cayman Islands,"Current education expenditure, total (% of total expenditure in public institutions)",,,,,,100,,,,,,,,,,,,,,
Cyprus,Cyprus,"Current education expenditure, total (% of total expenditure in public institutions)",90.40776825,88.11370087,85.78412628,89.41034698,86.62361145,87.9681015,88.9411087,85.06902313,88.06952667,89.03708649,89.7184906,,96.47997284,97.24485016,95.87896729,93.91876984,92.28501129,,,
Czech Republic,Czech Republic,"Current education expenditure, total (% of total expenditure in public institutions)",90.76966858,89.48332214,90.84902954,90.42597961,90.34034729,89.57499695,89.381073,89.95552063,88.84197998,89.91665649,87.39916229,90.73867035,90.30155182,88.85929108,92.13555908,94.56498718,91.2352829,87.38809967,,
Germany,Germany,"Current education expenditure, total (% of total expenditure in public institutions)",,,,,,92.72689056,92.67983246,92.39441681,91.81842804,90.4095993,90.80905914,92.42632294,92.60111237,92.93862152,93.20913696,93.27955627,93.05982971,92.48470306,,
