Country Code,Country Name,Indicator Name,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
BOL,Bolivia,"Life expectancy at birth, total (years)",63.054,63.64,64.21,64.766,65.312,65.853,66.395,66.937,67.476,68.007,68.521,69.01,69.468,69.891,70.277,70.626,70.945,71.239,71.513,
BRA,Brazil,"Life expectancy at birth, total (years)",70.462,70.813,71.17,71.531,71.896,72.26,72.618,72.966,73.3,73.619,73.921,74.209,74.483,74.745,74.994,75.23,75.456,75.672,75.881,
BRB,Barbados,"Life expectancy at birth, total (years)",77.362,77.534,77.682,77.808,77.915,78.009,78.097,78.184,78.272,78.364,78.456,78.547,78.633,78.717,78.801,78.888,78.981,79.081,79.19,
BRN,Brunei Darussalam,"Life expectancy at birth, total (years)",73.076,73.332,73.575,73.801,74.006,74.189,74.351,74.494,74.623,74.74,74.852,74.962,75.075,75.193,75.318,75.45,75.585,75.722,75.86,
BTN,Bhutan,"Life expectancy at birth, total (years)",61.808,62.728,63.624,64.483,65.289,66.031,66.709,67.325,67.882,68.384,68.84,69.263,69.662,70.046,70.419,70.781,71.129,71.46,71.777,
BWA,Botswana,"Life expectancy at birth, total (years)",50.281,50.232,50.518,51.15,52.13,53.435,54.983,56.679,58.447,60.211,61.91,63.511,64.976,66.265,67.338,68.178,68.812,69.275,69.592,
CAF,Central African Republic,"Life expectancy at birth, total (years)",44.061,44.063,44.182,44.413,44.744,45.158,45.636,46.161,46.719,47.312,47.95,48.638,49.371,50.129,50.881,51.593,52.24,52.805,53.283,
CAN,Canada,"Life expectancy at birth, total (years)",79.33902439,79.4902439,79.74146341,79.89268293,80.19268293,80.34390244,80.54390244,80.69512195,80.99512195,81.24634146,81.44878049,81.64878049,81.74878049,81.8,81.9,81.9,81.9,82.04878049,82.04878049,
CEB,Central Europe and the Baltics,"Life expectancy at birth, total (years)",73.09614819,73.24241549,73.38225278,73.73043493,73.84499514,74.09260273,74.25064872,74.57595268,74.93036393,75.29396578,75.88847488,75.9934886,76.35516299,76.67562361,76.57187776,76.96981142,76.94744264,76.97682268,77.14410292,
CHE,Switzerland,"Life expectancy at birth, total (years)",80.1804878,80.38536585,80.53658537,81.08780488,81.23658537,81.4902439,81.74146341,81.99268293,82.04390244,82.24634146,82.69512195,82.69756098,82.79756098,83.19756098,82.89756098,83.60243902,83.55121951,83.75365854,83.70487805,
CHI,Channel Islands,"Life expectancy at birth, total (years)",79.3,79.548,79.795,80.045,80.298,80.553,80.802,81.041,81.268,81.483,81.688,81.883,82.071,82.252,82.429,82.6,82.766,82.928,83.086,
CHL,Chile,"Life expectancy at birth, total (years)",76.634,76.894,77.146,77.391,77.63,77.865,78.099,78.33,78.558,78.779,78.986,79.176,79.349,79.504,79.646,79.779,79.909,80.042,80.181,
CHN,China,"Life expectancy at birth, total (years)",71.732,72.061,72.381,72.689,72.985,73.271,73.553,73.835,74.119,74.409,74.708,75.013,75.321,75.629,75.928,76.21,76.47,76.704,76.912,
CIV,Cote d'Ivoire,"Life expectancy at birth, total (years)",49.495,49.475,49.572,49.788,50.12,50.561,51.091,51.682,52.313,52.964,53.62,54.271,54.906,55.508,56.065,56.567,57.017,57.422,57.783,
CMR,Cameroon,"Life expectancy at birth, total (years)",51.222,51.536,51.908,52.321,52.76,53.215,53.681,54.153,54.627,55.101,55.581,56.073,56.576,57.083,57.583,58.063,58.511,58.921,59.292,
COD,"Congo, Dem. Rep.","Life expectancy at birth, total (years)",50.667,51.385,52.144,52.917,53.675,54.401,55.091,55.743,56.35,56.909,57.427,57.914,58.381,58.828,59.254,59.655,60.026,60.368,60.681,
COG,"Congo, Rep.","Life expectancy at birth, total (years)",52.517,53.091,53.817,54.667,55.6,56.573,57.541,58.466,59.321,60.093,60.785,61.423,62.022,62.582,63.097,63.556,63.954,64.29,64.57,
COL,Colombia,"Life expectancy at birth, total (years)",73.241,73.517,73.777,74.026,74.265,74.5,74.732,74.962,75.193,75.424,75.655,75.882,76.105,76.322,76.531,76.732,76.925,77.109,77.287,
COM,Comoros,"Life expectancy at birth, total (years)",59.529,59.617,59.738,59.904,60.126,60.407,60.734,61.094,61.475,61.862,62.24,62.595,62.922,63.214,63.471,63.7,63.912,64.118,64.321,
CPV,Cabo Verde,"Life expectancy at birth, total (years)",69.099,69.557,69.932,70.219,70.424,70.565,70.676,70.786,70.911,71.062,71.243,71.445,71.661,71.886,72.117,72.347,72.57,72.782,72.981,
CRI,Costa Rica,"Life expectancy at birth, total (years)",77.601,77.74,77.871,77.996,78.117,78.239,78.362,78.491,78.626,78.769,78.919,79.074,79.234,79.398,79.565,79.738,79.914,80.095,80.279,
CSS,Caribbean small states,"Life expectancy at birth, total (years)",71.53799942,71.71336257,71.79199379,71.923541,72.05570873,72.18703608,72.31605654,72.4407885,72.56174942,72.67940423,72.79529509,72.91180938,73.03013854,73.15059179,73.2730249,73.39595799,73.51748995,73.63710628,73.75473231,
CUB,Cuba,"Life expectancy at birth, total (years)",76.905,77.105,77.303,77.499,77.688,77.864,78.019,78.15,78.256,78.338,78.4,78.446,78.485,78.521,78.561,78.607,78.662,78.726,78.802,
CUW,Curacao,"Life expectancy at birth, total (years)",,,,,,74.7097561,75.36341463,75.3097561,76.15609756,,77.47317073,77.52439024,77.82682927,77.97560976,78.07560976,77.7195122,78.01707317,,,
CYM,Cayman Islands,"Life expectancy at birth, total (years)",,,,,,,,,,82.1902439,,,,,,,,,,
CYP,Cyprus,"Life expectancy at birth, total (years)",78.139,78.264,78.385,78.506,78.63,78.764,78.91,79.071,79.245,79.43,79.621,79.812,79.999,80.178,80.35,80.513,80.672,80.828,80.982,
CZE,Czech Republic,"Life expectancy at birth, total (years)",75.17317073,75.22195122,75.17073171,75.72195122,75.92439024,76.52439024,76.72439024,76.97560976,77.07804878,77.42439024,77.87317073,78.07560976,78.17560976,78.82439024,78.57804878,79.02682927,78.97804878,79.02926829,79.12926829,
DEU,Germany,"Life expectancy at birth, total (years)",78.32926829,78.22926829,78.3804878,78.6804878,78.93170732,79.13170732,79.53414634,79.73658537,79.83658537,79.98780488,80.43658537,80.53902439,80.4902439,81.0902439,80.64146341,80.9902439,80.99268293,80.89268293,80.94146341,
DJI,Djibouti,"Life expectancy at birth, total (years)",57.1,57.235,57.427,57.682,57.991,58.34,58.719,59.124,59.561,60.062,60.667,61.395,62.239,63.171,64.136,65.064,65.893,66.582,67.112,
DMA,Dominica,"Life expectancy at birth, total (years)",,76.59756098,,,,,,,,,,,,,,,,,,
DNK,Denmark,"Life expectancy at birth, total (years)",76.79268293,76.89512195,77.14390244,77.49268293,77.84390244,78.09512195,78.19512195,78.44634146,78.59756098,79.1,79.8,80.05121951,80.3,80.7,80.70243902,80.85365854,81.10243902,80.95365854,81.20243902,
DOM,Dominican Republic,"Life expectancy at birth, total (years)",69.69,69.957,70.227,70.499,70.771,71.041,71.304,71.559,71.806,72.046,72.284,72.523,72.763,73.003,73.241,73.471,73.689,73.892,74.081,
DZA,Algeria,"Life expectancy at birth, total (years)",71.116,71.605,72.101,72.594,73.072,73.521,73.936,74.311,74.644,74.938,75.199,75.436,75.661,75.878,76.09,76.298,76.499,76.693,76.88,
EAP,East Asia & Pacific (excluding high income),"Life expectancy at birth, total (years)",70.44228545,70.74836533,71.05126632,71.34881739,71.64072952,71.92756969,72.21234651,72.49664016,72.78072417,73.06626429,73.35573867,73.64769112,73.9384118,74.22573699,74.50227185,74.76204668,75.0019151,75.21766316,75.40970324,
EAR,Early-demographic dividend,"Life expectancy at birth, total (years)",64.73386604,65.0651669,65.40225897,65.74821736,66.10620881,66.48034464,66.86664715,67.26249961,67.66168986,68.05602104,68.43890413,68.80320526,69.1451634,69.46091897,69.74850623,70.01123507,70.2542347,70.48323834,70.70120132,
EAS,East Asia & Pacific,"Life expectancy at birth, total (years)",71.48171716,71.77476486,72.06752825,72.36114457,72.62462075,72.9216443,73.20093388,73.4698955,73.75912516,74.01299917,74.26612883,74.56283254,74.84944386,75.12686996,75.39461357,75.63785486,75.86858543,76.07158863,76.26520574,
ECA,Europe & Central Asia (excluding high income),"Life expectancy at birth, total (years)",67.69903855,67.78067541,67.90544775,68.25225995,68.38908829,69.01848461,69.53244745,69.84898668,70.46201351,70.79403264,71.36987297,71.73464273,72.17331859,72.39354736,72.70699127,73.06190249,73.50931792,73.67534256,73.93536301,
ECS,Europe & Central Asia,"Life expectancy at birth, total (years)",73.29341732,73.40799492,73.51598433,73.95912325,74.12110476,74.6188777,74.97700139,75.24345372,75.64308179,75.94408335,76.46008051,76.6234774,76.95575615,77.28293263,77.24081033,77.59568739,77.78860652,77.91035086,78.03127739,
ECU,Ecuador,"Life expectancy at birth, total (years)",73.078,73.371,73.641,73.887,74.112,74.319,74.514,74.705,74.895,75.089,75.289,75.495,75.707,75.923,76.143,76.365,76.584,76.8,77.01,
EGY,"Egypt, Arab Rep.","Life expectancy at birth, total (years)",68.796,68.961,69.116,69.271,69.434,69.608,69.788,69.971,70.159,70.349,70.543,70.736,70.928,71.117,71.302,71.482,71.656,71.825,71.99,
EMU,Euro area,"Life expectancy at birth, total (years)",78.59711255,78.68446787,78.70717949,79.27870164,79.42628302,79.8561324,80.09988192,80.30291579,80.50518151,80.74678096,81.23282485,81.22715818,81.51232872,81.9429827,81.5692291,81.95454532,81.93231636,82.0598817,82.03854822,
ERI,Eritrea,"Life expectancy at birth, total (years)",55.864,56.5,57.191,57.932,58.707,59.487,60.243,60.952,61.602,62.193,62.732,63.238,63.726,64.201,64.664,65.111,65.538,65.941,66.321,
ESP,Spain,"Life expectancy at birth, total (years)",79.36829268,79.56829268,79.6195122,79.87073171,80.17073171,80.82195122,80.87317073,81.17560976,81.47560976,81.62682927,82.47560976,82.42682927,83.07804878,83.22926829,82.83170732,83.32926829,83.28292683,83.43170732,83.48536585,
EST,Estonia,"Life expectancy at birth, total (years)",70.25853659,70.90487805,71.31707317,71.9097561,72.56829268,72.69146341,72.81463415,73.77073171,74.82439024,75.42926829,76.22926829,76.32682927,77.14146341,77.03414634,77.5902439,77.64146341,78.09268293,78.24390244,78.49756098,
ETH,Ethiopia,"Life expectancy at birth, total (years)",52.595,53.349,54.211,55.174,56.223,57.334,58.467,59.581,60.645,61.627,62.505,63.281,63.961,64.547,65.048,65.482,65.872,66.24,66.597,
EUU,European Union,"Life expectancy at birth, total (years)",77.42548338,77.53272154,77.59066196,78.1157576,78.27264114,78.66892325,78.90203604,79.12549885,79.35722831,79.62942605,80.13777291,80.15688817,80.46374092,80.87044756,80.56680714,80.94986464,80.93083864,81.03490546,81.06384682,
FCS,Fragile and conflict affected situations,"Life expectancy at birth, total (years)",54.8302065,55.21199109,55.63842435,56.10280396,56.5966202,57.11004197,57.6301199,58.14518313,58.64454018,59.12058102,59.57662201,60.01624452,60.44007285,60.84346476,61.22104656,61.57030792,61.892848,62.19424904,62.48008834,
FIN,Finland,"Life expectancy at birth, total (years)",77.96585366,78.1195122,78.36829268,78.71463415,78.81707317,79.21463415,79.26341463,79.56829268,79.7195122,79.87073171,80.47073171,80.62682927,80.97560976,81.1804878,81.4804878,81.42926829,81.63170732,81.73414634,81.78536585,
FJI,Fiji,"Life expectancy at birth, total (years)",65.863,66.022,66.152,66.247,66.313,66.362,66.413,66.477,66.559,66.655,66.759,66.859,66.95,67.03,67.103,67.175,67.252,67.341,67.444,
FRA,France,"Life expectancy at birth, total (years)",79.15853659,79.26097561,79.11463415,80.16341463,80.16341463,80.81219512,81.11219512,81.21463415,81.41463415,81.66341463,82.11463415,81.96829268,82.2195122,82.7195122,82.32195122,82.57317073,82.57560976,82.72439024,82.57804878,
FRO,Faroe Islands,"Life expectancy at birth, total (years)",78.63658537,78.83902439,78.9902439,79.1902439,79.44146341,79.6902439,79.94146341,80.13902439,80.38780488,80.63902439,80.88780488,81.0902439,81.34146341,81.59268293,81.84390244,82.04390244,82.29512195,82.49512195,82.74634146,
FSM,"Micronesia, Fed. Sts.","Life expectancy at birth, total (years)",64.71,64.888,65.08,65.282,65.489,65.697,65.901,66.099,66.29,66.471,66.646,66.817,66.986,67.152,67.315,67.471,67.618,67.755,67.883,
GAB,Gabon,"Life expectancy at birth, total (years)",57.968,57.791,57.759,57.885,58.181,58.641,59.229,59.904,60.637,61.4,62.168,62.924,63.648,64.318,64.913,65.418,65.839,66.187,66.467,
GBR,United Kingdom,"Life expectancy at birth, total (years)",77.99268293,78.14390244,78.44634146,78.74634146,79.04878049,79.24878049,79.44878049,79.6,80.05121951,80.40243902,80.95121951,80.90487805,81.00487805,81.30487805,80.95609756,81.15609756,81.25609756,81.25609756,81.20487805,
GEO,Georgia,"Life expectancy at birth, total (years)",70.065,70.22,70.349,70.451,70.538,70.635,70.765,70.946,71.18,71.46,71.773,72.097,72.412,72.707,72.973,73.207,73.414,73.6,73.767,
GHA,Ghana,"Life expectancy at birth, total (years)",57.158,57.425,57.785,58.225,58.719,59.234,59.741,60.216,60.645,61.03,61.381,61.72,62.064,62.416,62.772,63.124,63.463,63.78,64.074,
GIB,Gibraltar,"Life expectancy at birth, total (years)",,,,,,,,,,,,,,,,,,,,
GIN,Guinea,"Life expectancy at birth, total (years)",51.255,51.484,51.901,52.499,53.238,54.052,54.864,55.614,56.279,56.861,57.387,57.905,58.447,59.016,59.598,60.17,60.706,61.185,61.602,
GMB,"Gambia, The","Life expectancy at birth, total (years)",56.359,56.761,57.159,57.553,57.939,58.313,58.671,59.012,59.334,59.637,59.917,60.178,60.426,60.667,60.91,61.166,61.44,61.735,62.05,
GNB,Guinea-Bissau,"Life expectancy at birth, total (years)",50.744,51.123,51.501,51.883,52.275,52.691,53.136,53.612,54.113,54.628,55.144,55.645,56.117,56.556,56.959,57.328,57.673,58.003,58.322,
GNQ,Equatorial Guinea,"Life expectancy at birth, total (years)",53.581,53.84,54.064,54.263,54.449,54.638,54.842,55.07,55.329,55.622,55.945,56.288,56.642,57.001,57.359,57.713,58.061,58.402,58.735,
GRC,Greece,"Life expectancy at birth, total (years)",78.38780488,78.64146341,78.84146341,79.03902439,79.23902439,79.43902439,79.43902439,79.93902439,80.18780488,80.38780488,80.73170732,80.63414634,81.28536585,81.38536585,81.03658537,81.38780488,81.28780488,81.78780488,81.93902439,
GRD,Grenada,"Life expectancy at birth, total (years)",72.805,72.929,73.023,73.088,73.123,73.125,73.096,73.038,72.96,72.867,72.768,72.669,72.579,72.503,72.445,72.408,72.388,72.384,72.397,
GRL,Greenland,"Life expectancy at birth, total (years)",67.60780488,68.16268293,68.43536585,68.80682927,69.22073171,69.51926829,69.98268293,70.21341463,70.46780488,70.85707317,71.06243902,71.29902439,71.8304878,71.53841463,71.24634146,70.84878049,70.62243902,,,
GTM,Guatemala,"Life expectancy at birth, total (years)",68.304,68.717,69.092,69.437,69.762,70.082,70.409,70.75,71.108,71.481,71.861,72.236,72.596,72.935,73.25,73.541,73.81,74.063,74.302,
GUM,Guam,"Life expectancy at birth, total (years)",75.373,75.726,76.065,76.387,76.687,76.966,77.227,77.474,77.71,77.941,78.173,78.408,78.649,78.895,79.144,79.391,79.631,79.859,80.074,
GUY,Guyana,"Life expectancy at birth, total (years)",65.532,65.828,66.122,66.412,66.694,66.972,67.247,67.521,67.792,68.059,68.321,68.575,68.819,69.049,69.262,69.454,69.624,69.774,69.906,
HIC,High income,"Life expectancy at birth, total (years)",77.8955535,78.03379056,78.16090897,78.57473342,78.67339638,78.98345688,79.21851477,79.36598888,79.64658691,79.82621319,80.06776615,80.18677394,80.36478186,80.62339128,80.49851928,80.64386433,80.68436436,80.78733976,80.88736686,
HKG,"Hong Kong SAR, China","Life expectancy at birth, total (years)",81.42439024,81.42682927,81.37804878,81.82926829,81.62926829,82.37560976,82.32682927,82.37560976,82.77560976,82.97804878,83.42195122,83.4804878,83.83170732,83.9804878,84.27804878,84.22682927,84.6804878,84.93414634,85.07804878,
HND,Honduras,"Life expectancy at birth, total (years)",70.976,71.249,71.511,71.77,72.026,72.285,72.544,72.803,73.061,73.317,73.569,73.814,74.051,74.278,74.495,74.701,74.898,75.088,75.27,
HPC,Heavily indebted poor countries (HIPC),"Life expectancy at birth, total (years)",52.74934234,53.29664728,53.90032259,54.5520779,55.24228463,55.96161697,56.69696411,57.43356861,58.15822389,58.85894745,59.52887102,60.16656535,60.77033533,61.33431413,61.85295289,62.32328464,62.74867177,63.13499116,63.48645533,
HRV,Croatia,"Life expectancy at birth, total (years)",74.51292683,74.71731707,74.61390244,75.5202439,75.24463415,75.83682927,75.70560976,75.91219512,76.16829268,76.47560976,76.77560976,76.92439024,77.12682927,77.47804878,77.27560976,78.02195122,77.82682927,78.07073171,78.42439024,
HTI,Haiti,"Life expectancy at birth, total (years)",57.382,57.655,57.959,58.292,58.652,59.028,59.408,59.782,60.148,60.511,60.879,61.26,61.658,62.069,62.485,62.896,63.29,63.66,64.001,
HUN,Hungary,"Life expectancy at birth, total (years)",72.24878049,72.34878049,72.3,72.64878049,72.64878049,73.09756098,73.15121951,73.70243902,73.90487805,74.20731707,74.85853659,75.06341463,75.56585366,75.76341463,75.56829268,76.06341463,75.81707317,76.06585366,76.02195122,
IBD,IBRD only,"Life expectancy at birth, total (years)",68.34252296,68.62362292,68.90495026,69.20972948,69.49572996,69.83300911,70.16358311,70.48336334,70.83250708,71.16152936,71.51006302,71.82971791,72.14627288,72.43254937,72.7021799,72.96140174,73.2074138,73.41190445,73.61359351,
IBT,IDA & IBRD total,"Life expectancy at birth, total (years)",65.77256925,66.0563442,66.34999624,66.67060704,66.98413456,67.34306602,67.70019148,68.04947254,68.41905591,68.76812198,69.12765969,69.46122331,69.78768479,70.08553324,70.36397352,70.62711126,70.87314027,71.08065527,71.27948622,
IDA,IDA total,"Life expectancy at birth, total (years)",56.38874243,56.80357121,57.2602471,57.75465066,58.27971638,58.82737849,59.38766879,59.94540415,60.48822214,61.00702034,61.50004542,61.96788628,62.41385382,62.83665693,63.23268056,63.59918453,63.93676168,64.24817977,64.53630894,
IDB,IDA blend,"Life expectancy at birth, total (years)",55.39921755,55.67027371,55.99178942,56.37096256,56.79777194,57.26156366,57.74881487,58.24290389,58.73064721,59.20835377,59.66462167,60.09325422,60.50417686,60.89369396,61.25627871,61.58796584,61.8891292,62.16186739,62.40899722,
IDN,Indonesia,"Life expectancy at birth, total (years)",66.037,66.321,66.631,66.969,67.334,67.717,68.105,68.485,68.853,69.205,69.542,69.866,70.179,70.481,70.768,71.035,71.282,71.509,71.716,
IDX,IDA only,"Life expectancy at birth, total (years)",56.88471824,57.37109348,57.89454677,58.44586124,59.01959152,59.60906289,60.20615863,60.79641651,61.36779782,61.90905118,62.42255008,62.91158488,63.37674492,63.81780447,64.23192906,64.61689789,64.97338955,65.30456203,65.61334387,
IMN,Isle of Man,"Life expectancy at birth, total (years)",,77.96585366,,,,,,,,,,,,,,,,,,
IND,India,"Life expectancy at birth, total (years)",62.907,63.304,63.699,64.095,64.5,64.918,65.35,65.794,66.244,66.693,67.13,67.545,67.931,68.286,68.607,68.897,69.165,69.416,69.656,
INX,Not classified,"Life expectancy at birth, total (years)",,,,,,,,,,,,,,,,,,,,
IRL,Ireland,"Life expectancy at birth, total (years)",77.13414634,77.63414634,78.13902439,78.53902439,78.94390244,79.24146341,79.64146341,80.09512195,80.1902439,80.74390244,80.74634146,80.84634146,80.94878049,81.34878049,81.45365854,81.65365854,82.15609756,82.25609756,82.30243902,
IRN,"Iran, Islamic Rep.","Life expectancy at birth, total (years)",70.553,70.921,71.265,71.592,71.917,72.257,72.626,73.027,73.457,73.905,74.352,74.776,75.162,75.502,75.796,76.047,76.271,76.479,76.677,
IRQ,Iraq,"Life expectancy at birth, total (years)",68.983,68.827,68.636,68.437,68.266,68.157,68.13,68.19,68.34,68.567,68.848,69.148,69.437,69.7,69.929,70.122,70.294,70.454,70.604,
ISL,Iceland,"Life expectancy at birth, total (years)",80.6902439,80.50243902,80.96341463,80.99756098,81.50243902,81.15853659,81.45365854,81.6097561,81.75121951,81.89756098,82.35853659,82.91707317,82.06097561,82.86097561,82.46829268,82.20487805,82.66097561,82.86097561,82.56097561,
ISR,Israel,"Life expectancy at birth, total (years)",79.40731707,79.45121951,79.64878049,80.14634146,80.15121951,80.55365854,80.50487805,80.95121951,81.40487805,81.60243902,81.65609756,81.70487805,82.05609756,82.15365854,82.05121951,82.40731707,82.55121951,82.80243902,82.80487805,
