Country Code,Country Name,Indicator Name,Indicator Code,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
BWA,Botswana,Bank capital to assets ratio (%),FB.BNK.CAPA.ZS,,,,,,,,,,,,7.060784106,8.38265228,9.111412699,8.524321018,8.440349226,8.766129725,9.445044144,11.93477228,11.80861392
CAF,Central African Republic,Bank capital to assets ratio (%),FB.BNK.CAPA.ZS,,,,,,,,,,17.09658262,22.33011847,22.19327977,23.67749806,21.93992072,21.05175233,19.22063043,20.94741064,21.25088789,19.98047588,
CAN,Canada,Bank capital to assets ratio (%),FB.BNK.CAPA.ZS,,,,,3.848395452,3.8545872,3.701456959,3.512665861,4.50753533,4.659300315,4.894951712,4.897643842,4.964122278,4.943254523,5.067827011,5.160559391,5.223244745,5.202677391,5.218075498,4.948428466
CEB,Central Europe and the Baltics,Bank capital to assets ratio (%),FB.BNK.CAPA.ZS,,,,,,,,,,,,,,,,,,,,
CHE,Switzerland,Bank capital to assets ratio (%),FB.BNK.CAPA.ZS,,,,,5.083313005,4.875254534,4.553716607,4.836822528,5.551293197,5.401414334,5.547869309,5.502581741,6.129226959,6.852896792,7.290805951,7.120629094,8.017107046,8.300509843,8.59195491,8.125798347
CHI,Channel Islands,Bank capital to assets ratio (%),FB.BNK.CAPA.ZS,,,,,,,,,,,,,,,,,,,,
CHL,Chile,Bank capital to assets ratio (%),FB.BNK.CAPA.ZS,7.659922702,8.049664845,8.003711988,7.465239095,7.101018149,6.793880061,7.11730883,6.433604543,6.847640026,8.284741635,7.771346627,8.006478182,8.126357338,7.971122632,7.574985814,8.41033272,8.443154541,8.419976622,7.515975795,6.861189226
CHN,China,Bank capital to assets ratio (%),FB.BNK.CAPA.ZS,,,,,,,,,,,,,,7.199253036,8.437491605,8.143343119,8.556092999,9.070188603,9.307319122,9.239362769
CIV,Cote d'Ivoire,Bank capital to assets ratio (%),FB.BNK.CAPA.ZS,,,,,,,,,,,,,,,,,,,,
CMR,Cameroon,Bank capital to assets ratio (%),FB.BNK.CAPA.ZS,,,,,,,,,,7.321540862,6.408674615,6.909857417,8.347690979,8.368569701,8.306969748,7.47072757,7.8450239,8.699081541,8.888809569,
COD,"Congo, Dem. Rep.",Bank capital to assets ratio (%),FB.BNK.CAPA.ZS,,,,,,,,,,,,,,,,,,,,
COG,"Congo, Rep.",Bank capital to assets ratio (%),FB.BNK.CAPA.ZS,,,,,,,,,,8.221608176,7.110203197,7.668934311,9.525867367,9.518172794,13.46847694,15.01745983,16.85705679,17.89813143,17.7194859,
